"OTU","pvalues","model","score","g1","g2","g1vsg2","adj_pvalues","hlevel"
"ef26904830b91caa86a460c041c77fd4",0.725694351040496,"zinb",365.644886601712,1,0,"1_vs_0",0.725694351040496,"phylum"
"3ab61ffb86b753b43f425d630a87e7a1",0.167301382916793,"zinb",410.089403562989,1,0,"1_vs_0",0.556911386338469,"phylum"
"9aa3baf0e1ca0d9f7c5b119e42c52153",0.388546081812334,"zinb",433.372642384565,1,0,"1_vs_0",0.671916998877616,"phylum"
"183d7a6a20b38695342d58bce245f3be",0.0285512054432473,"zinb",324.737438015941,1,0,"1_vs_0",0.256960848989226,"phylum"
"777bf3ba74100b7a4dbd872959a84eeb",0.608698881915735,"zinb",259.114045257244,1,0,"1_vs_0",0.684786242155202,"phylum"
"ae71c2e538a51e571a12a1d35ecb3975",0.261989468812629,"zinb",154.706224805548,1,0,"1_vs_0",0.589476304828416,"phylum"
"f50d1d42a442560b41612992aa2a07c3",0.18563712877949,"zinb",199.082272904385,1,0,"1_vs_0",0.556911386338469,"phylum"
"54990f8a1d19297ca852c5f1a8077299",0.471912912484315,"zinb",195.773857120731,1,0,"1_vs_0",0.671916998877616,"phylum"
"36b0b251d44111826aa72760204004f9",0.522602110238146,"zinb",72.9927850302203,1,0,"1_vs_0",0.671916998877616,"phylum"
"ef26904830b91caa86a460c041c77fd4",0.99451187028689,"zinb",253.190318456107,1,0,"1_vs_0",0.99451187028689,"order"
"3ab61ffb86b753b43f425d630a87e7a1",0.167302489113265,"zinb",410.087885948422,1,0,"1_vs_0",0.570228577675854,"order"
"9aa3baf0e1ca0d9f7c5b119e42c52153",0.388180723829307,"zinb",433.373518997222,1,0,"1_vs_0",0.592760028911237,"order"
"30d87e91be256a2b5f96b636ef04cda2",0.702407285270049,"zinb",386.119174450075,1,0,"1_vs_0",0.801201507738732,"order"
"183d7a6a20b38695342d58bce245f3be",0.028580951425808,"zinb",324.73844894151,1,0,"1_vs_0",0.462771942868144,"order"
"4f75b2e18a41280d3a51b71dfd217114",0.245127656828939,"zinb",200.28196459571,1,0,"1_vs_0",0.570228577675854,"order"
"a1383ebba0a369e5027e252e0f7587c3",0.034404971293375,"zinb",215.450135694848,1,0,"1_vs_0",0.462771942868144,"order"
"c1f83bd0eac0f5b9b6bb409c55d831e0",0.285593599076234,"zinb",415.383801173927,1,0,"1_vs_0",0.570228577675854,"order"
"218d7fe9eb2b82133c504cb4c7ab8076",0.0746406359464748,"zinb",329.835274365231,1,0,"1_vs_0",0.462771942868144,"order"
"777bf3ba74100b7a4dbd872959a84eeb",0.608651750437336,"zinb",259.113122697895,1,0,"1_vs_0",0.725700163982978,"order"
"fe1644129eb6fb34078f939c04915813",0.277734391796994,"zinb",307.079305977216,1,0,"1_vs_0",0.570228577675854,"order"
"2717c55a33435a4cf9c4953837bac9f4",0.286246116928457,"zinb",343.268361387803,1,0,"1_vs_0",0.570228577675854,"order"
"d28313e755b0d735a3f5db93b60345b9",0.479692076770586,"zinb",211.616157389268,1,0,"1_vs_0",0.675929744540372,"order"
"ae71c2e538a51e571a12a1d35ecb3975",0.261987577979429,"zinb",154.705604006347,1,0,"1_vs_0",0.570228577675854,"order"
