"ID","Sample","Abundance","Kingdom","Phylum","Class","Order","Family","Genus"
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0018",1113,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0002",1099,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0003",960,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0028",933,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0023",885,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0004",869,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0030",774,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0006",739,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0029",731,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0026",472,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0015",452,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0027",362,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0022",252,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0025",222,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0014",194,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0001",157,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0019",132,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0017",115,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0007",97,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0013",94,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0021",73,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0016",71,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0008",65,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0020",57,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0009",47,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0005",11,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0012",11,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0011",10,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0024",7,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0010",0,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_genus","S00PP-0002",1099,"teria","teobacteria","maproteobacteria","kholderiales","terellaceae","asutterella"
"c1f83bd0eac0f5b9b6bb409c55d831e0_genus","S00PP-0018",1047,"teria","teobacteria","maproteobacteria","kholderiales","terellaceae","asutterella"
"c1f83bd0eac0f5b9b6bb409c55d831e0_genus","S00PP-0003",960,"teria","teobacteria","maproteobacteria","kholderiales","terellaceae","asutterella"
"c1f83bd0eac0f5b9b6bb409c55d831e0_genus","S00PP-0028",898,"teria","teobacteria","maproteobacteria","kholderiales","terellaceae","asutterella"
"c1f83bd0eac0f5b9b6bb409c55d831e0_genus","S00PP-0023",885,"teria","teobacteria","maproteobacteria","kholderiales","terellaceae","asutterella"
"c1f83bd0eac0f5b9b6bb409c55d831e0_genus","S00PP-0004",861,"teria","teobacteria","maproteobacteria","kholderiales","terellaceae","asutterella"
"c1f83bd0eac0f5b9b6bb409c55d831e0_genus","S00PP-0030",713,"teria","teobacteria","maproteobacteria","kholderiales","terellaceae","asutterella"
"c1f83bd0eac0f5b9b6bb409c55d831e0_genus","S00PP-0029",713,"teria","teobacteria","maproteobacteria","kholderiales","terellaceae","asutterella"
"c1f83bd0eac0f5b9b6bb409c55d831e0_genus","S00PP-0006",698,"teria","teobacteria","maproteobacteria","kholderiales","terellaceae","asutterella"
"c1f83bd0eac0f5b9b6bb409c55d831e0_genus","S00PP-0026",457,"teria","teobacteria","maproteobacteria","kholderiales","terellaceae","asutterella"
"c1f83bd0eac0f5b9b6bb409c55d831e0_genus","S00PP-0015",390,"teria","teobacteria","maproteobacteria","kholderiales","terellaceae","asutterella"
"c1f83bd0eac0f5b9b6bb409c55d831e0_genus","S00PP-0027",354,"teria","teobacteria","maproteobacteria","kholderiales","terellaceae","asutterella"
"c1f83bd0eac0f5b9b6bb409c55d831e0_genus","S00PP-0022",252,"teria","teobacteria","maproteobacteria","kholderiales","terellaceae","asutterella"
"c1f83bd0eac0f5b9b6bb409c55d831e0_genus","S00PP-0025",207,"teria","teobacteria","maproteobacteria","kholderiales","terellaceae","asutterella"
"c1f83bd0eac0f5b9b6bb409c55d831e0_genus","S00PP-0001",157,"teria","teobacteria","maproteobacteria","kholderiales","terellaceae","asutterella"
